,$LINK:NO,FROMNODENO,TONODENO,FROMNODE\WKTLOCWGS84,TONODE\WKTLOCWGS84,From_Coords,To_Coords,Orig_Long,Orig_Lat,Dest_Long,Dest_Lat,Origins,Destinations,Response
0,100001,257952,258065,POINT(-0.73110 51.27600),POINT(-0.72260 51.27150),-0.73110 51.27600,-0.72260 51.27150,-0.7311,51.276,-0.7226,51.2715,51.276%2C-0.7311,51.2715%2C-0.7226,"{
   ""destination_addresses"" : [ ""323 Vale Rd, Ash Vale, Aldershot GU12 5LN, UK"" ],
   ""origin_addresses"" : [
      ""North Camp Railway Station, Lynchford Rd, Ash Vale, Aldershot GU12 5QA, UK""
   ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""0.8 km"",
                  ""value"" : 850
               },
               ""duration"" : {
                  ""text"" : ""11 mins"",
                  ""value"" : 648
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
1,100001,258065,257952,POINT(-0.72260 51.27150),POINT(-0.73110 51.27600),-0.72260 51.27150,-0.73110 51.27600,-0.7226,51.2715,-0.7311,51.276,51.2715%2C-0.7226,51.276%2C-0.7311,"{
   ""destination_addresses"" : [
      ""North Camp Railway Station, Lynchford Rd, Ash Vale, Aldershot GU12 5QA, UK""
   ],
   ""origin_addresses"" : [ ""323 Vale Rd, Ash Vale, Aldershot GU12 5LN, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""0.8 km"",
                  ""value"" : 850
               },
               ""duration"" : {
                  ""text"" : ""11 mins"",
                  ""value"" : 633
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
2,100004,232189,232193,POINT(-2.84330 53.60580),POINT(-2.84250 53.59580),-2.84330 53.60580,-2.84250 53.59580,-2.8433,53.6058,-2.8425,53.5958,53.6058%2C-2.8433,53.5958%2C-2.8425,"{
   ""destination_addresses"" : [ ""24 Richmond Ave, Burscough, Ormskirk L40 7RD, UK"" ],
   ""origin_addresses"" : [ ""Sports Centre, Burscough, Ormskirk L40 0SW, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""2.0 km"",
                  ""value"" : 2048
               },
               ""duration"" : {
                  ""text"" : ""15 mins"",
                  ""value"" : 926
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
3,100004,232193,232189,POINT(-2.84250 53.59580),POINT(-2.84330 53.60580),-2.84250 53.59580,-2.84330 53.60580,-2.8425,53.5958,-2.8433,53.6058,53.5958%2C-2.8425,53.6058%2C-2.8433,"{
   ""destination_addresses"" : [ ""Sports Centre, Burscough, Ormskirk L40 0SW, UK"" ],
   ""origin_addresses"" : [ ""24 Richmond Ave, Burscough, Ormskirk L40 7RD, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""2.1 km"",
                  ""value"" : 2127
               },
               ""duration"" : {
                  ""text"" : ""18 mins"",
                  ""value"" : 1091
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
4,100005,244531,244559,POINT(-1.75300 53.79700),POINT(-1.74930 53.79100),-1.75300 53.79700,-1.74930 53.79100,-1.753,53.797,-1.7493,53.791,53.797%2C-1.753,53.791%2C-1.7493,"{
   ""destination_addresses"" : [ ""Bradford Interchange, Bridge St, Bradford BD1 1TU, UK"" ],
   ""origin_addresses"" : [
      ""Bradford Forster Square, 382a King's Rd, Forster Square, Bradford BD1 4RN, UK""
   ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""1.2 km"",
                  ""value"" : 1233
               },
               ""duration"" : {
                  ""text"" : ""9 mins"",
                  ""value"" : 543
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
5,100005,244559,244531,POINT(-1.74930 53.79100),POINT(-1.75300 53.79700),-1.74930 53.79100,-1.75300 53.79700,-1.7493,53.791,-1.753,53.797,53.791%2C-1.7493,53.797%2C-1.753,"{
   ""destination_addresses"" : [
      ""Bradford Forster Square, 382a King's Rd, Forster Square, Bradford BD1 4RN, UK""
   ],
   ""origin_addresses"" : [ ""Bradford Interchange, Bridge St, Bradford BD1 1TU, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""1.9 km"",
                  ""value"" : 1865
               },
               ""duration"" : {
                  ""text"" : ""10 mins"",
                  ""value"" : 607
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
6,100006,267933,268747,POINT(-0.12430 51.50830),POINT(-0.10320 51.51080),-0.12430 51.50830,-0.10320 51.51080,-0.1243,51.5083,-0.1032,51.5108,51.5083%2C-0.1243,51.5108%2C-0.1032,"{
   ""destination_addresses"" : [ ""Blackfriars, Queen Victoria St, London EC4V 4DD, UK"" ],
   ""origin_addresses"" : [ ""15a Villiers St, London WC2N 6ND, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""1.9 km"",
                  ""value"" : 1934
               },
               ""duration"" : {
                  ""text"" : ""11 mins"",
                  ""value"" : 662
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
7,100006,268747,267933,POINT(-0.10320 51.51080),POINT(-0.12430 51.50830),-0.10320 51.51080,-0.12430 51.50830,-0.1032,51.5108,-0.1243,51.5083,51.5108%2C-0.1032,51.5083%2C-0.1243,"{
   ""destination_addresses"" : [ ""15a Villiers St, London WC2N 6ND, UK"" ],
   ""origin_addresses"" : [ ""Blackfriars, Queen Victoria St, London EC4V 4DD, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""1.9 km"",
                  ""value"" : 1898
               },
               ""duration"" : {
                  ""text"" : ""12 mins"",
                  ""value"" : 690
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
8,100007,267662,268747,POINT(-0.13350 51.52810),POINT(-0.10320 51.51080),-0.13350 51.52810,-0.10320 51.51080,-0.1335,51.5281,-0.1032,51.5108,51.5281%2C-0.1335,51.5108%2C-0.1032,"{
   ""destination_addresses"" : [ ""Blackfriars, Queen Victoria St, London EC4V 4DD, UK"" ],
   ""origin_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""4.7 km"",
                  ""value"" : 4723
               },
               ""duration"" : {
                  ""text"" : ""20 mins"",
                  ""value"" : 1209
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
9,100007,268747,267662,POINT(-0.10320 51.51080),POINT(-0.13350 51.52810),-0.10320 51.51080,-0.13350 51.52810,-0.1032,51.5108,-0.1335,51.5281,51.5108%2C-0.1032,51.5281%2C-0.1335,"{
   ""destination_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""origin_addresses"" : [ ""Blackfriars, Queen Victoria St, London EC4V 4DD, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""4.7 km"",
                  ""value"" : 4698
               },
               ""duration"" : {
                  ""text"" : ""20 mins"",
                  ""value"" : 1213
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
